ID,SampleID,ReadNumber
uniq29,sample44,2
uniq1780,sample44,2
uniq18,sample44,2
uniq40,sample44,2
uniq560,sample44,2
uniq91,sample44,2
uniq13,sample44,3
uniq149,sample43,3
uniq16,sample30,3
uniq161,sample27,3
uniq17,sample26,3
uniq17,sample44,3
uniq174,sample32,3
uniq18,sample29,3
uniq198,sample45,3
uniq210,sample43,3
uniq251,sample32,3
uniq274,sample43,3
uniq3134,sample45,3
uniq440,sample45,3
uniq50,sample29,3
uniq55,sample31,3
uniq59,sample30,3
uniq619,sample31,3
uniq70,sample43,3
uniq70,sample44,3
uniq70,sample45,3
uniq741,sample43,3
uniq77,sample33,3
uniq785,sample45,3
uniq938,sample31,3
uniq133,sample32,4
uniq106,sample36,4
uniq1091,sample27,4
uniq110,sample43,4
uniq1366,sample28,4
uniq16,sample32,4
uniq161,sample30,4
uniq192,sample31,4
uniq194,sample23,4
uniq214,sample36,4
uniq26620,sample27,4
uniq27297,sample28,4
uniq273,sample43,4
uniq277,sample23,4
uniq28,sample45,4
uniq287,sample26,4
uniq303,sample45,4
uniq32,sample24,4
uniq336,sample36,4
uniq34,sample23,4
uniq34,sample36,4
uniq3573,sample26,4
uniq368,sample26,4
uniq405,sample23,4
uniq440,sample31,4
uniq450,sample23,4
uniq506,sample23,4
uniq512,sample36,4
uniq54,sample30,4
uniq60,sample32,4
uniq62,sample33,4
uniq643,sample31,4
uniq66,sample36,4
uniq70,sample26,4
uniq70,sample31,4
uniq863,sample26,4
uniq91,sample36,4
uniq133,sample17,5
uniq44,sample23,5
uniq44,sample36,5
uniq100,sample23,5
uniq100,sample32,5
uniq118,sample17,5
uniq145,sample36,5
uniq17,sample29,5
uniq18,sample30,5
uniq18487,sample26,5
uniq18605,sample26,5
uniq202,sample17,5
uniq243,sample26,5
uniq258,sample36,5
uniq2892,sample45,5
uniq309,sample23,5
uniq336,sample45,5
uniq37,sample43,5
uniq4559,sample26,5
uniq50,sample17,5
uniq50,sample45,5
uniq52,sample17,5
uniq52,sample30,5
uniq52,sample32,5
uniq55,sample45,5
uniq70,sample36,5
uniq938,sample45,5
uniq100,sample36,6
uniq13,sample17,6
uniq1349,sample45,6
uniq14,sample28,6
uniq161,sample23,6
uniq211,sample14,6
uniq211,sample31,6
uniq214,sample43,6
uniq247,sample43,6
uniq28,sample29,6
uniq34,sample14,6
uniq374,sample32,6
uniq54,sample45,6
uniq60,sample36,6
uniq62,sample37,6
uniq66,sample17,6
uniq76,sample45,6
uniq86,sample45,6
uniq90,sample37,6
uniq10,sample24,7
uniq103,sample26,7
uniq1385,sample26,7
uniq15094,sample45,7
uniq186,sample17,7
uniq223,sample43,7
uniq290,sample23,7
uniq298,sample45,7
uniq329,sample45,7
uniq54,sample32,7
uniq6,sample44,7
uniq90,sample36,7
uniq103,sample45,8
uniq1041,sample45,8
uniq12927,sample14,8
uniq13,sample24,8
uniq17,sample30,8
uniq258,sample37,8
uniq28,sample17,8
uniq34,sample31,8
uniq512,sample14,8
uniq6,sample30,8
uniq667,sample45,8
uniq68,sample36,8
uniq863,sample37,8
uniq93,sample23,8
uniq44,sample32,9
uniq29,sample10,9
uniq103,sample14,9
uniq103,sample37,9
uniq155,sample23,9
uniq161,sample14,9
uniq17,sample32,9
uniq17,sample45,9
uniq194,sample17,9
uniq199,sample31,9
uniq2222,sample14,9
uniq2375,sample17,9
uniq304,sample23,9
uniq40,sample45,9
uniq50,sample12,9
uniq50,sample34,9
uniq70,sample32,9
uniq7,sample27,10
uniq29,sample32,10
uniq29,sample36,10
uniq128,sample23,10
uniq129,sample23,10
uniq17,sample31,10
uniq298,sample14,10
uniq32,sample31,10
uniq32,sample43,10
uniq34,sample43,10
uniq493,sample23,10
uniq54,sample33,10
uniq91,sample23,10
uniq934,sample26,10
uniq3,sample44,11
uniq103,sample23,11
uniq145,sample26,11
uniq155,sample14,11
uniq18,sample43,11
uniq199,sample45,11
uniq206,sample45,11
uniq2753,sample14,11
uniq389,sample14,11
uniq40,sample14,11
uniq4559,sample45,11
uniq512,sample37,11
uniq610,sample14,11
uniq7593,sample17,11
uniq86,sample32,11
uniq8644,sample28,11
uniq8721,sample25,11
uniq7849,sample14,11
uniq29,sample14,12
uniq145,sample37,12
uniq228,sample9,12
uniq251,sample36,12
uniq2548,sample28,12
uniq30,sample31,12
uniq360,sample23,12
uniq45,sample37,12
uniq6,sample31,12
uniq66,sample31,12
uniq913,sample28,12
uniq93,sample10,12
uniq13,sample29,13
uniq14,sample43,13
uniq16,sample45,13
uniq332,sample23,13
uniq4699,sample16,13
uniq5372,sample16,13
uniq59,sample37,13
uniq69,sample31,13
uniq817,sample16,13
uniq85,sample17,13
uniq16,sample34,14
uniq274,sample36,14
uniq290,sample45,14
uniq32,sample39,14
uniq329,sample42,14
uniq348,sample12,14
uniq40,sample36,14
uniq422,sample37,14
uniq52,sample16,14
uniq5746,sample16,14
uniq6203,sample28,14
uniq70,sample17,14
uniq85,sample32,14
uniq90,sample23,14
uniq10,sample28,15
uniq1472,sample16,15
uniq161,sample34,15
uniq254,sample14,15
uniq28,sample42,15
uniq30,sample43,15
uniq52,sample23,15
uniq52,sample25,15
uniq52,sample36,15
uniq6038,sample25,15
uniq70,sample12,15
uniq90,sample14,15
uniq13,sample12,16
uniq17,sample34,16
uniq28,sample12,16
uniq32,sample16,16
uniq40,sample32,16
uniq559,sample17,16
uniq5668,sample18,16
uniq6100,sample12,16
uniq70,sample25,16
uniq29,sample23,17
uniq10,sample16,17
uniq1067,sample19,17
uniq149,sample37,17
uniq155,sample39,17
uniq161,sample18,17
uniq247,sample42,17
uniq279,sample19,17
uniq3038,sample32,17
uniq358,sample42,17
uniq4222,sample16,17
uniq4825,sample19,17
uniq4931,sample42,17
uniq5184,sample19,17
uniq5186,sample12,17
uniq5294,sample39,17
uniq5378,sample42,17
uniq5396,sample42,17
uniq66,sample45,17
uniq448,sample42,18
uniq149,sample23,18
uniq155,sample19,18
uniq16,sample14,18
uniq210,sample42,18
uniq259,sample18,18
uniq4116,sample19,18
uniq422,sample28,18
uniq4498,sample19,18
uniq4721,sample25,18
uniq85,sample33,18
uniq90,sample19,18
uniq93,sample34,18
uniq13,sample45,19
uniq155,sample18,19
uniq16,sample12,19
uniq16,sample43,19
uniq161,sample32,19
uniq2397,sample42,19
uniq4030,sample17,19
uniq4517,sample16,19
uniq594,sample28,19
uniq6,sample45,19
uniq60,sample23,19
uniq85,sample43,19
uniq17,sample25,20
uniq287,sample42,20
uniq2986,sample25,20
uniq4174,sample16,20
uniq4215,sample25,20
uniq4684,sample18,20
uniq52,sample19,20
uniq6,sample29,20
uniq69,sample18,20
uniq69,sample45,20
uniq85,sample42,20
uniq86,sample26,20
uniq10,sample31,21
uniq103,sample42,21
uniq110,sample19,21
uniq134,sample42,21
uniq14,sample9,21
uniq170,sample23,21
uniq18,sample32,21
uniq314,sample28,21
uniq3771,sample16,21
uniq7,sample44,22
uniq106,sample43,22
uniq110,sample17,22
uniq14,sample31,22
uniq149,sample36,22
uniq187,sample17,22
uniq2892,sample42,22
uniq3654,sample12,22
uniq3875,sample16,22
uniq70,sample42,22
uniq86,sample24,22
uniq13,sample8,23
uniq304,sample42,23
uniq4032,sample19,23
uniq70,sample23,23
uniq106,sample45,24
uniq1283,sample19,24
uniq13,sample42,24
uniq145,sample39,24
uniq314,sample39,24
uniq3280,sample26,24
uniq3608,sample7,24
uniq54,sample34,24
uniq55,sample32,24
uniq66,sample23,24
uniq70,sample28,24
uniq77,sample43,24
uniq7,sample10,25
uniq10,sample43,25
uniq3211,sample25,25
uniq3295,sample25,25
uniq3456,sample16,25
uniq54,sample18,25
uniq54,sample43,25
uniq943,sample17,25
uniq243,sample22,26
uniq2748,sample42,26
uniq2867,sample19,26
uniq287,sample19,26
uniq3086,sample41,26
uniq3171,sample41,26
uniq3306,sample42,26
uniq619,sample16,26
uniq69,sample14,26
uniq1283,sample22,27
uniq13,sample27,27
uniq145,sample41,27
uniq161,sample19,27
uniq18,sample17,27
uniq199,sample14,27
uniq202,sample28,27
uniq2667,sample19,27
uniq3031,sample16,27
uniq3080,sample25,27
uniq50,sample40,27
uniq52,sample28,27
uniq566,sample40,27
uniq70,sample34,27
uniq91,sample43,27
uniq210,sample41,28
uniq257,sample42,28
uniq2874,sample22,28
uniq298,sample19,28
uniq3404,sample16,28
uniq85,sample41,28
uniq129,sample19,29
uniq1912,sample19,29
uniq2064,sample25,29
uniq2554,sample17,29
uniq2667,sample16,29
uniq2700,sample41,29
uniq698,sample6,29
uniq142,sample23,30
uniq155,sample16,30
uniq17,sample43,30
uniq2476,sample6,30
uniq2480,sample19,30
uniq2773,sample42,30
uniq50,sample37,30
uniq54,sample17,30
uniq583,sample15,30
uniq66,sample7,30
uniq85,sample34,30
uniq2308,sample6,31
uniq1053,sample16,31
uniq155,sample15,31
uniq177,sample25,31
uniq2398,sample15,31
uniq358,sample40,31
uniq533,sample7,31
uniq100,sample17,32
uniq2208,sample16,32
uniq2279,sample26,32
uniq2337,sample45,32
uniq2490,sample39,32
uniq2562,sample25,32
uniq259,sample15,32
uniq3311,sample6,32
uniq34,sample6,32
uniq69,sample6,32
uniq2310,sample41,33
uniq3614,sample7,33
uniq630,sample34,33
uniq70,sample37,33
uniq86,sample19,33
uniq7,sample14,34
uniq1674,sample13,34
uniq52,sample31,34
uniq85,sample23,34
uniq10,sample13,35
uniq103,sample35,35
uniq2317,sample34,35
uniq243,sample16,35
uniq374,sample39,35
uniq55,sample34,35
uniq77,sample42,35
uniq920,sample6,36
uniq10,sample9,36
uniq1963,sample41,36
uniq2088,sample39,36
uniq54,sample42,36
uniq1895,sample39,36
uniq143,sample23,37
uniq18,sample36,37
uniq450,sample16,37
uniq52,sample12,37
uniq619,sample45,37
uniq70,sample14,37
uniq91,sample42,37
uniq100,sample22,38
uniq1184,sample19,38
uniq1214,sample40,38
uniq298,sample15,38
uniq50,sample36,38
uniq52,sample37,38
uniq52,sample45,38
uniq54,sample41,38
uniq68,sample17,38
uniq943,sample39,38
uniq1122,sample16,39
uniq1193,sample41,39
uniq149,sample33,39
uniq1807,sample40,39
uniq1830,sample16,39
uniq1855,sample7,39
uniq28,sample18,39
uniq296,sample22,39
uniq50,sample43,39
uniq44,sample9,40
uniq10,sample39,40
uniq103,sample39,40
uniq1780,sample28,40
uniq18,sample19,40
uniq2634,sample16,40
uniq59,sample31,40
uniq62,sample31,40
uniq70,sample19,40
uniq792,sample6,40
uniq86,sample27,40
uniq1339,sample41,41
uniq145,sample35,41
uniq1872,sample33,41
uniq257,sample6,41
uniq257,sample33,41
uniq6,sample25,41
uniq958,sample19,41
uniq1639,sample7,42
uniq202,sample18,42
uniq889,sample19,42
uniq3,sample10,43
uniq1326,sample41,43
uniq149,sample19,43
uniq206,sample7,43
uniq55,sample40,43
uniq7,sample36,44
uniq10,sample35,44
uniq161,sample35,44
uniq1649,sample16,44
uniq296,sample42,44
uniq70,sample13,44
uniq448,sample35,45
uniq7,sample23,45
uniq7,sample32,45
uniq103,sample33,45
uniq1769,sample12,45
uniq66,sample19,45
uniq66,sample35,45
uniq3,sample23,46
uniq1652,sample25,46
uniq444,sample39,46
uniq68,sample23,46
uniq69,sample20,46
uniq3,sample32,47
uniq1483,sample23,47
uniq17,sample33,47
uniq444,sample42,47
uniq52,sample7,47
uniq70,sample41,47
uniq912,sample13,47
uniq1051,sample7,48
uniq1465,sample17,48
uniq1502,sample14,48
uniq1602,sample41,48
uniq1642,sample41,48
uniq202,sample25,48
uniq210,sample39,48
uniq426,sample21,48
uniq62,sample45,48
uniq69,sample40,48
uniq81,sample23,48
uniq10,sample20,49
uniq1138,sample14,49
uniq1197,sample33,49
uniq1326,sample14,49
uniq1473,sample21,49
uniq561,sample15,49
uniq59,sample45,49
uniq1067,sample22,50
uniq1327,sample6,50
uniq1366,sample33,50
uniq1837,sample40,50
uniq66,sample39,50
uniq100,sample33,51
uniq1430,sample13,51
uniq161,sample22,51
uniq257,sample7,51
uniq374,sample38,51
uniq444,sample38,51
uniq531,sample21,51
uniq69,sample13,51
uniq1361,sample41,52
uniq1382,sample38,52
uniq1460,sample4,52
uniq16,sample33,52
uniq18,sample23,52
uniq272,sample40,52
uniq52,sample34,52
uniq688,sample6,52
uniq69,sample19,52
uniq70,sample16,52
uniq85,sample36,52
uniq3,sample14,53
uniq1471,sample40,53
uniq16,sample4,53
uniq254,sample6,53
uniq336,sample39,53
uniq66,sample20,53
uniq1354,sample4,54
uniq243,sample18,54
uniq1440,sample33,55
uniq18,sample7,55
uniq187,sample20,55
uniq206,sample12,55
uniq610,sample15,55
uniq16,sample38,56
uniq202,sample22,56
uniq1252,sample35,57
uniq1260,sample23,57
uniq1293,sample40,57
uniq155,sample21,57
uniq37,sample6,57
uniq6,sample17,57
uniq1236,sample22,58
uniq1267,sample4,58
uniq2375,sample15,58
uniq286,sample13,58
uniq304,sample40,58
uniq52,sample42,58
uniq54,sample23,58
uniq55,sample33,58
uniq60,sample43,58
uniq90,sample40,58
uniq44,sample7,59
uniq187,sample19,59
uniq66,sample38,59
uniq3,sample36,60
uniq1221,sample33,60
uniq6,sample16,60
uniq1187,sample4,61
uniq304,sample39,61
uniq329,sample39,61
uniq368,sample40,61
uniq450,sample38,61
uniq66,sample40,61
uniq1183,sample21,62
uniq17,sample17,62
uniq59,sample14,62
uniq62,sample14,62
uniq1091,sample25,63
uniq1137,sample15,63
uniq621,sample20,63
uniq1054,sample20,64
uniq1167,sample8,64
uniq1185,sample13,64
uniq1368,sample16,64
uniq187,sample18,64
uniq69,sample35,64
uniq93,sample26,64
uniq643,sample15,65
uniq1130,sample41,66
uniq187,sample42,66
uniq254,sample8,66
uniq55,sample9,66
uniq1118,sample41,67
uniq149,sample41,67
uniq1603,sample6,67
uniq17,sample41,67
uniq512,sample21,67
uniq840,sample6,67
uniq1049,sample20,68
uniq18,sample25,68
uniq554,sample15,68
uniq45,sample34,69
uniq596,sample40,69
uniq69,sample7,69
uniq1012,sample40,70
uniq247,sample40,70
uniq368,sample22,70
uniq69,sample39,71
uniq865,sample6,71
uniq1218,sample39,72
uniq6,sample43,72
uniq741,sample42,72
uniq647,sample40,73
uniq103,sample21,73
uniq18,sample31,73
uniq54,sample36,73
uniq1000,sample41,74
uniq16,sample35,74
uniq206,sample14,74
uniq85,sample40,74
uniq16,sample39,75
uniq210,sample40,75
uniq149,sample40,76
uniq177,sample19,76
uniq18,sample16,76
uniq512,sample38,76
uniq69,sample38,76
uniq91,sample22,76
uniq13,sample28,77
uniq859,sample8,77
uniq863,sample16,77
uniq40,sample16,78
uniq45,sample32,78
uniq924,sample19,78
uniq13,sample25,79
uniq295,sample6,79
uniq90,sample22,79
uniq309,sample19,80
uniq484,sample40,81
uniq52,sample21,81
uniq602,sample21,81
uniq862,sample16,81
uniq884,sample33,81
uniq66,sample22,82
uniq52,sample6,83
uniq753,sample21,83
uniq916,sample22,83
uniq66,sample21,84
uniq177,sample26,85
uniq32,sample4,85
uniq450,sample21,85
uniq528,sample13,85
uniq129,sample40,87
uniq17,sample36,87
uniq40,sample18,87
uniq66,sample41,87
uniq145,sample22,88
uniq16,sample9,88
uniq905,sample13,88
uniq103,sample28,89
uniq206,sample15,89
uniq254,sample7,89
uniq826,sample22,89
uniq369,sample6,90
uniq70,sample39,90
uniq810,sample8,90
uniq143,sample19,91
uniq16,sample42,91
uniq593,sample39,93
uniq785,sample15,93
uniq93,sample42,93
uniq314,sample32,94
uniq93,sample27,94
uniq7,sample3,95
uniq54,sample40,95
uniq493,sample22,96
uniq52,sample39,96
uniq812,sample15,97
uniq18,sample4,98
uniq762,sample3,98
uniq90,sample39,98
uniq274,sample42,99
uniq543,sample15,99
uniq594,sample16,99
uniq129,sample22,100
uniq103,sample18,101
uniq13,sample35,101
uniq202,sample21,102
uniq143,sample6,104
uniq161,sample4,104
uniq748,sample33,104
uniq735,sample13,106
uniq736,sample40,106
uniq93,sample40,106
uniq626,sample12,106
uniq52,sample35,108
uniq648,sample13,110
uniq29,sample8,112
uniq384,sample19,112
uniq411,sample15,112
uniq497,sample6,112
uniq70,sample33,112
uniq29,sample9,113
uniq202,sample20,113
uniq394,sample25,113
uniq18,sample45,114
uniq616,sample13,114
uniq645,sample21,114
uniq296,sample35,117
uniq639,sample16,117
uniq155,sample22,118
uniq1154,sample8,119
uniq18,sample37,119
uniq414,sample21,119
uniq55,sample6,119
uniq734,sample15,119
uniq14,sample6,121
uniq93,sample22,121
uniq55,sample7,122
uniq81,sample22,122
uniq103,sample8,123
uniq103,sample22,123
uniq17,sample28,123
uniq371,sample6,123
uniq637,sample12,123
uniq243,sample21,124
uniq296,sample38,124
uniq29,sample7,126
uniq40,sample23,126
uniq749,sample39,127
uniq298,sample13,128
uniq599,sample39,128
uniq17,sample23,129
uniq52,sample14,129
uniq69,sample3,129
uniq947,sample38,130
uniq595,sample21,131
uniq269,sample3,132
uniq52,sample18,132
uniq295,sample7,133
uniq614,sample40,133
uniq93,sample38,134
uniq149,sample22,135
uniq566,sample19,135
uniq314,sample38,138
uniq560,sample19,138
uniq592,sample41,138
uniq401,sample40,139
uniq129,sample18,140
uniq170,sample22,140
uniq155,sample20,141
uniq85,sample39,141
uniq60,sample22,142
uniq568,sample39,144
uniq18,sample12,148
uniq60,sample42,149
uniq794,sample8,151
uniq274,sample40,152
uniq938,sample15,152
uniq142,sample22,153
uniq3,sample4,155
uniq493,sample26,155
uniq70,sample35,156
uniq40,sample17,157
uniq484,sample41,158
uniq488,sample38,159
uniq499,sample21,159
uniq519,sample16,159
uniq85,sample35,159
uniq452,sample3,160
uniq6,sample32,162
uniq17,sample42,163
uniq66,sample18,163
uniq513,sample6,165
uniq103,sample38,166
uniq436,sample6,167
uniq251,sample35,168
uniq6,sample23,169
uniq66,sample3,169
uniq18,sample41,170
uniq70,sample8,170
uniq7,sample4,171
uniq3,sample5,172
uniq17,sample16,172
uniq70,sample15,172
uniq369,sample8,173
uniq420,sample6,174
uniq85,sample21,174
uniq7,sample5,175
uniq17,sample35,175
uniq60,sample20,175
uniq18,sample42,177
uniq713,sample6,177
uniq18,sample28,179
uniq6,sample28,179
uniq13,sample32,180
uniq18,sample13,180
uniq444,sample40,181
uniq54,sample37,181
uniq60,sample38,182
uniq70,sample18,185
uniq440,sample15,189
uniq85,sample37,189
uniq54,sample39,191
uniq448,sample6,194
uniq52,sample8,194
uniq52,sample22,200
uniq394,sample3,201
uniq66,sample8,201
uniq17,sample19,202
uniq409,sample4,203
uniq406,sample6,207
uniq418,sample41,207
uniq251,sample38,209
uniq506,sample21,209
uniq161,sample21,212
uniq405,sample21,212
uniq416,sample41,212
uniq269,sample7,213
uniq85,sample20,213
uniq228,sample6,214
uniq286,sample4,214
uniq272,sample21,215
uniq18,sample34,217
uniq6,sample42,217
uniq247,sample41,218
uniq304,sample21,218
uniq54,sample35,220
uniq13,sample33,222
uniq384,sample41,222
uniq348,sample6,227
uniq6,sample36,227
uniq118,sample8,229
uniq17,sample40,235
uniq370,sample7,237
uniq360,sample21,238
uniq7,sample9,241
uniq18,sample39,241
uniq54,sample21,247
uniq103,sample20,248
uniq365,sample22,248
uniq349,sample8,251
uniq6,sample19,253
uniq18,sample35,261
uniq332,sample21,267
uniq86,sample34,269
uniq10,sample4,272
uniq7,sample7,273
uniq316,sample45,273
uniq290,sample21,284
uniq10,sample5,285
uniq17,sample37,286
uniq7,sample8,288
uniq52,sample20,289
uniq129,sample21,291
uniq145,sample38,291
uniq619,sample15,293
uniq309,sample21,295
uniq70,sample22,299
uniq52,sample33,300
uniq18,sample14,301
uniq177,sample16,312
uniq18,sample33,325
uniq52,sample38,325
uniq69,sample8,325
uniq294,sample40,326
uniq273,sample42,330
uniq3,sample9,334
uniq276,sample6,335
uniq277,sample21,336
uniq559,sample19,338
uniq28,sample8,347
uniq6,sample34,350
uniq274,sample38,359
uniq66,sample15,360
uniq54,sample20,361
uniq233,sample41,369
uniq32,sample17,372
uniq258,sample38,376
uniq134,sample8,381
uniq3,sample7,387
uniq70,sample38,392
uniq18,sample18,393
uniq533,sample8,397
uniq3,sample8,405
uniq149,sample21,410
uniq18,sample21,419
uniq18,sample8,425
uniq6,sample41,443
uniq223,sample40,451
uniq17,sample39,454
uniq211,sample15,458
uniq221,sample8,458
uniq214,sample40,474
uniq209,sample3,475
uniq134,sample6,476
uniq6,sample33,479
uniq303,sample8,496
uniq70,sample20,496
uniq170,sample21,500
uniq6,sample18,507
uniq200,sample7,519
uniq106,sample42,526
uniq17,sample18,540
uniq194,sample19,541
uniq149,sample39,548
uniq192,sample3,548
uniq106,sample41,566
uniq186,sample19,567
uniq90,sample38,570
uniq18,sample22,575
uniq199,sample15,597
uniq66,sample6,599
uniq6,sample40,634
uniq198,sample6,643
uniq17,sample21,668
uniq228,sample8,670
uniq6,sample37,675
uniq16,sample7,682
uniq142,sample21,690
uniq153,sample3,713
uniq90,sample21,717
uniq118,sample6,769
uniq106,sample40,779
uniq18,sample20,784
uniq85,sample22,803
uniq93,sample12,814
uniq55,sample35,826
uniq68,sample21,854
uniq69,sample15,856
uniq13,sample26,867
uniq52,sample15,882
uniq16,sample41,888
uniq18,sample38,896
uniq6,sample21,896
uniq161,sample33,979
uniq54,sample22,1131
uniq110,sample16,1137
uniq143,sample21,1139
uniq17,sample20,1157
uniq107,sample7,1192
uniq68,sample19,1209
uniq100,sample19,1252
uniq6,sample39,1252
uniq85,sample38,1351
uniq50,sample38,1361
uniq86,sample25,1422
uniq91,sample40,1493
uniq60,sample41,1549
uniq60,sample40,1556
uniq50,sample42,1598
uniq6,sample20,1650
uniq54,sample38,1692
uniq81,sample21,1716
uniq40,sample21,1824
uniq16,sample6,1849
uniq77,sample41,1891
uniq76,sample6,1897
uniq18,sample15,2122
uniq17,sample38,2246
uniq62,sample15,2453
uniq6,sample35,2514
uniq59,sample15,2675
uniq45,sample33,3084
uniq17,sample22,3123
uniq55,sample8,3246
uniq6,sample22,3272
uniq32,sample3,4208
uniq40,sample19,4411
uniq16,sample8,4534
uniq30,sample3,5180
uniq28,sample6,5849
uniq6,sample38,6375
uniq13,sample34,8270
uniq10,sample3,16156