otuID,genus,species
uniq2170,Actinopyga,Actinopyga spinea
uniq6994,Actinopyga,Actinopyga spinea
uniq25747,Amphiodia,Amphiodia
uniq24237,Archaster,Archaster typicus
uniq14507,Asteropsis,Asteropsis carinifera
uniq26010,Asteropsis,Asteropsis carinifera
uniq17580,Astropyga,Astropyga
uniq951,Astropyga,Astropyga
uniq6018,Bohadschia,Bohadschia vitiensis
uniq5854,Ophiuroidea,Ophiuroidea
uniq11340,Chiridota,Chiridota impatiens
uniq7137,Clarkcomanthus,Clarkcomanthus
uniq674,Comatulidae,Comanthus
uniq8300,Comanthus,Comanthus
uniq133,Echinaster,Echinaster
uniq5317,Echinometridae,Echinometridae
uniq10083,Echinodermata,Echinodermata
uniq11651,Echinodermata,Echinodermata
uniq13484,Holothuria,Holothuria
uniq1513,Holothuria,Holothuria
uniq17791,Echinodermata,Echinodermata
uniq18072,Echinodermata,Echinodermata
uniq22391,Echinodermata,Echinodermata
uniq2308,Holothuria,Holothuria
uniq2952,Echinodermata,Echinodermata
uniq4067,Echinodermata,Echinodermata
uniq448,Holothuria,Holothuria
uniq5195,Echinodermata,Echinodermata
uniq5629,Holothuria,Holothuria
uniq647,Echinodermata,Echinodermata
uniq7,Acanthaster,Acanthaster
uniq7854,Echinodermata,Echinodermata
uniq920,Echinodermata,Echinodermata
uniq21187,Eucidaris,Eucidaris metularia
uniq299,Fromia,Fromia indica
uniq7859,Holothuria,Holothuria
uniq8125,Holothuria,Holothuria
uniq3089,Holothuria,Holothuria arenicola
uniq15502,Holothuria,Holothuria atra
uniq44,Holothuria,Holothuria pardalis
uniq17959,Labidodemas,Labidodemas pertinax
uniq3400,Labidodemas,Labidodemas pertinax
uniq13349,Linckia,Linckia
uniq3,Linckia,Linckia 
uniq29,Linckia,Linckia guildingi
uniq22754,Macrophiothrix,Macrophiothrix leucosticha
uniq22771,Macrophiothrix,Macrophiothrix lorioli
uniq5251,Macrophiothrix,Macrophiothrix lorioli
uniq3341,Mespilia,Mespilia globulus
uniq4809,Mespilia,Mespilia globulus
uniq5295,Mespilia,Mespilia globulus
uniq1096,Lovenia,Lovenia
uniq11708,Amphilepidida,Amphilepidida
uniq13990,Holothuria,Holothuria
uniq1535,Holothuria,Holothuria
uniq1610,Macrophiothrix,Macrophiothrix
uniq17395,Fibularia,Fibularia
uniq20286,Holothuria,Holothuria
uniq21588,Comatulida,Comatulida
uniq27957,Ophionereis,Ophionereis
uniq754,Macrophiothrix,Macrophiothrix
uniq792,Amphilepidida,Amphilepidida
uniq9070,Fibularia,Fibularia
uniq9317,Macrophiothrix,Macrophiothrix
uniq14613,Ophiactis,Ophiactis
uniq1895,Ophiactis,Ophiactis
uniq4585,Ophiactis,Ophiactis
uniq9250,Ophiactis,Ophiactis
uniq4024,Breviturma,Breviturma brevipes
uniq11057,Ophionereis,Ophionereis
uniq1374,Ophionereis,Ophionereis variegata
uniq15585,Ophionereis,Ophionereis variegata
uniq26135,Ophionereis,Ophionereis variegata
uniq4814,Ophionereis,Ophionereis variegata
uniq7849,Ophionereis,Ophionereis variegata
uniq10665,Ophiothrix,Ophiothrix
uniq12892,Ophiothrix,Ophiothrix armata
uniq8726,Ophiothrix,Ophiothrix armata
uniq626,Ophiura,Ophiura
uniq8156,Ophiura,Ophiura
uniq22279,Stichopus,Stichopus
uniq9330,Stichopus,Stichopus
uniq395,Stichopus,Stichopus chloronotus
uniq14751,Stomopneustes,Stomopneustes variolaris
uniq22312,Stomopneustes,Stomopneustes variolaris
uniq22621,Synaptidae,Synaptidae