sample,tow,site-year,site,region,year
sample16,1624,Fore_2017,Fore & Aft Reef,Central,2017
sample17,1630,Bram_2017,Bramble Reef,Central,2017
sample18,1633,Brit_2017,Brittomart Reef,Central,2017
sample19,1636,Otte_2017,Otter Reef,Central,2017
sample20,1639,Yama_2017,Yamacutta Reef,Central,2017
sample21,1642,Eddy_2017,Eddy Reef,Central,2017
sample22,1645,Hall_2017,Hall-Thompson Reef,Central,2017
sample23,1651,Gibs_2017,Gibson Reef,Central,2017
sample24,1657,Sudb_2017,Sudbury Reef,Central,2017
sample25,1663,Gree_2017,Green Island,Central,2017
sample26,1669,Pixi_2017,Pixie Reef,Central,2017
sample27,1675,Tong_2017,Tongue Reef,North,2017
sample28,1678,Undi_2017,Undine Reef,North,2017
sample29,1690,Oste_2017,Osterlund Reef,North,2017
sample30,1756,Liza_2017,Lizard Island,North,2017
sample31,2573,Oste_2018,Osterlund Reef,North,2018
sample32,2588,Undi_2018,Undine Reef,North,2018
sample33,2600,Tong_2018,Tongue Reef,North,2018
sample34,2603,Pixi_2018,Pixie Reef,Central,2018
sample35,2609,Gree_2018,Green Island,Central,2018
sample36,2615,Sudb_2018,Sudbury Reef,Central,2018
sample37,2621,Gibs_2018,Gibson Reef,Central,2018
sample38,2627,Hall_2018,Hall-Thompson Reef,Central,2018
sample39,2633,Eddy_2018,Eddy Reef,Central,2018
sample40,2636,Yama_2018,Yamacutta Reef,Central,2018
sample41,2639,Otte_2018,Otter Reef,Central,2018
sample42,2642,Brit_2018,Brittomart Reef,Central,2018
sample43,2645,Bram_2018,Bramble Reef,Central,2018
sample44,2648,Fore_2018,Fore & Aft Reef,Central,2018
sample45,2663,Liza_2018,Lizard Island,North,2018
sample1,101157,Pixi_2019,Pixie Reef,Central,2019
sample2,101171,Tong_2019,Tongue Reef,North,2019
sample3,101178,Undi_2019,Undine Reef,North,2019
sample4,101202,Oste_2019,Osterlund Reef,North,2019
sample5,101222,Liza_2019,Lizard Island,North,2019
sample6,101228,Gree_2019,Green Island,Central,2019
sample7,101238,Sudb_2019,Sudbury Reef,Central,2019
sample8,101248,Gibs_2019,Gibson Reef,Central,2019
sample9,101264,Hall_2019,Hall-Thompson Reef,Central,2019
sample10,101270,Eddy_2019,Eddy Reef,Central,2019
sample11,101279,Yama_2019,Yamacutta Reef,Central,2019
sample12,101286,Otte_2019,Otter Reef,Central,2019
sample13,101297,Brit_2019,Brittomart Reef,Central,2019
sample14,101321,Bram_2019,Bramble Reef,Central,2019
sample15,101343,Fore_2019,Fore & Aft Reef,Central,2019