phylum,tow,date,site,year,month,season,Annelida,Arthropoda,Brachiopoda,Chaetognatha,Chordata,Cnidaria,Ctenophora,Entoprocta,Hemichordata,Mollusca,Nemertea,Phoronida,Platyhelminthes,Porifera,Sipuncula,total.rich,echino.rich
sample,100613,Nov_2019,Moore Reef,2019,November,Spring,5,42,0,3,6,3,0,0,0,33,0,0,0,0,0,92,5
sample1,100614,Nov_2019,Moore Reef,2019,November,Spring,5,63,0,4,13,7,0,0,0,24,2,0,0,0,0,118,8
sample2,100991,Jan_2020,Moore Reef,2020,January,Summer,4,56,0,23,5,14,0,0,0,80,0,0,0,1,0,183,8
sample3,100992,Jan_2020,Moore Reef,2020,January,Summer,2,33,0,14,7,15,0,0,0,15,0,0,0,0,0,86,8
sample4,1167,Mar_2017,Moore Reef,2017,March,Autumn,3,61,0,6,24,5,0,0,1,33,0,0,0,0,0,133,2
sample5,1168,Mar_2017,Moore Reef,2017,March,Autumn,5,86,0,5,23,5,0,0,0,54,0,0,0,0,0,178,7
sample6,1446,Jun_2017,Moore Reef,2017,June,Winter,7,50,0,3,6,1,0,0,0,32,2,0,0,0,0,101,0
sample7,1447,Jun_2017,Moore Reef,2017,June,Winter,3,45,0,6,11,4,0,0,0,82,0,0,0,0,0,151,0
sample8,1470,Aug_2017,Moore Reef,2017,August,Winter,1,35,0,5,5,0,0,0,0,34,1,0,0,0,0,81,0
sample9,1471,Aug_2017,Moore Reef,2017,August,Winter,3,78,0,11,8,1,0,0,0,23,1,0,0,0,0,125,0
sample10,1530,Dec_2017,Moore Reef,2017,December,Summer,3,75,0,33,10,9,0,0,0,33,0,0,0,1,0,164,6
sample11,1531,Dec_2017,Moore Reef,2017,December,Summer,3,56,0,24,12,6,0,0,0,21,0,0,0,1,0,123,1
sample12,1563,Jan_2018,Moore Reef,2018,January,Summer,2,63,0,15,24,8,0,0,1,13,0,1,0,0,0,127,11
sample13,1564,Jan_2018,Moore Reef,2018,January,Summer,2,59,0,16,16,14,0,0,0,30,1,0,0,1,0,139,11
sample14,1984,Mar_2018,Moore Reef,2018,March,Autumn,5,68,0,19,12,10,0,0,0,29,0,0,1,2,1,147,4
sample15,1985,Mar_2018,Moore Reef,2018,March,Autumn,5,67,0,21,9,5,0,0,0,26,0,0,0,1,2,136,9
sample16,208,Dec_2015,Moore Reef,2015,December,Summer,4,30,0,5,10,7,0,0,0,2,0,0,0,2,0,60,1
sample17,209,Dec_2015,Moore Reef,2015,December,Summer,4,33,0,9,10,16,0,0,0,9,0,0,0,0,0,81,1
sample18,286,Jan_2016,Moore Reef,2016,January,Summer,4,62,0,8,4,15,0,0,0,14,0,0,0,3,0,110,4
sample19,287,Jan_2016,Moore Reef,2016,January,Summer,3,73,0,25,12,21,0,0,0,10,0,0,0,2,0,146,4
sample20,548,Mar_2016,Moore Reef,2016,March,Autumn,6,58,0,94,13,28,0,0,0,7,0,0,0,0,0,206,9
sample21,549,Mar_2016,Moore Reef,2016,March,Autumn,4,58,0,53,7,9,0,0,0,10,0,0,0,0,0,141,3
sample22,639,Jun_2016,Moore Reef,2016,June,Winter,4,30,0,10,10,2,0,0,1,9,0,0,0,2,0,68,4
sample23,640,Jun_2016,Moore Reef,2016,June,Winter,2,31,0,14,10,2,0,0,0,3,0,0,0,0,0,62,5
sample24,684,Aug_2016,Moore Reef,2016,August,Winter,4,60,0,8,3,1,0,0,0,20,0,0,0,6,0,102,0
sample25,685,Aug_2016,Moore Reef,2016,August,Winter,4,80,1,11,6,4,0,0,1,42,0,0,0,2,0,151,5
sample26,774,Dec_2016,Moore Reef,2016,December,Summer,2,77,0,5,3,11,0,0,0,33,0,0,0,1,0,132,3
sample27,775,Dec_2016,Moore Reef,2016,December,Summer,5,96,0,9,7,13,0,0,0,43,0,0,1,0,0,174,3
sample28,952,Jan_2017,Moore Reef,2017,January,Summer,1,21,0,18,9,2,0,0,0,2,0,0,0,0,0,53,0
sample29,953,Jan_2017,Moore Reef,2017,January,Summer,3,29,0,27,6,16,1,0,0,7,0,0,0,0,0,89,8