sampleNum,tow,date,site,year,month,season,total.rich,echino.rich
sample,100613,Nov_2019,Moore Reef,2019,November,Spring,97,5
sample1,100614,Nov_2019,Moore Reef,2019,November,Spring,126,7
sample2,100991,Jan_2020,Moore Reef,2020,January,Summer,191,10
sample3,100992,Jan_2020,Moore Reef,2020,January,Summer,94,10
sample4,1167,Mar_2017,Moore Reef,2017,March,Autumn,135,5
sample5,1168,Mar_2017,Moore Reef,2017,March,Autumn,185,8
sample6,1446,Jun_2017,Moore Reef,2017,June,Winter,101,3
sample7,1447,Jun_2017,Moore Reef,2017,June,Winter,151,3
sample8,1470,Aug_2017,Moore Reef,2017,August,Winter,81,1
sample9,1471,Aug_2017,Moore Reef,2017,August,Winter,125,1
sample10,1530,Dec_2017,Moore Reef,2017,December,Summer,170,5
sample11,1531,Dec_2017,Moore Reef,2017,December,Summer,124,5
sample12,1563,Jan_2018,Moore Reef,2018,January,Summer,138,5
sample13,1564,Jan_2018,Moore Reef,2018,January,Summer,150,9
sample14,1984,Mar_2018,Moore Reef,2018,March,Autumn,151,5
sample15,1985,Mar_2018,Moore Reef,2018,March,Autumn,145,6
sample16,208,Dec_2015,Moore Reef,2015,December,Summer,61,4
sample17,209,Dec_2015,Moore Reef,2015,December,Summer,82,5
sample18,286,Jan_2016,Moore Reef,2016,January,Summer,114,6
sample19,287,Jan_2016,Moore Reef,2016,January,Summer,150,8
sample20,548,Mar_2016,Moore Reef,2016,March,Autumn,215,15
sample21,549,Mar_2016,Moore Reef,2016,March,Autumn,144,6
sample22,639,Jun_2016,Moore Reef,2016,June,Winter,72,4
sample23,640,Jun_2016,Moore Reef,2016,June,Winter,67,5
sample24,684,Aug_2016,Moore Reef,2016,August,Winter,102,4
sample25,685,Aug_2016,Moore Reef,2016,August,Winter,156,6
sample26,774,Dec_2016,Moore Reef,2016,December,Summer,135,2
sample27,775,Dec_2016,Moore Reef,2016,December,Summer,177,6
sample28,952,Jan_2017,Moore Reef,2017,January,Summer,53,2
sample29,953,Jan_2017,Moore Reef,2017,January,Summer,97,7