sample,Annelida,Arthropoda,Brachiopoda,Chaetognatha,Chordata,Cnidaria,Ctenophora,Entoprocta,Hemichordata,Mollusca,Nemertea,Phoronida,Platyhelminthes,Porifera,Sipuncula,Echinodermata,Total
sample,3,41,0,10,2,6,0,0,1,27,1,0,0,1,0,5,97
sample1,5,54,0,13,6,6,0,0,0,34,0,0,1,0,0,7,126
sample2,5,75,0,17,10,7,0,0,1,60,0,0,0,5,1,10,191
sample3,2,32,0,10,6,4,0,0,0,25,0,0,1,3,1,10,94
sample4,4,49,0,14,9,9,0,0,0,44,0,0,0,1,0,5,135
sample5,5,67,0,18,12,13,0,0,0,59,0,0,0,2,1,8,185
sample6,0,44,0,13,5,3,0,0,0,30,1,0,0,1,1,3,101
sample7,2,52,0,15,11,6,0,0,0,57,0,0,1,3,1,3,151
sample8,1,38,0,9,5,2,0,1,0,22,0,0,0,1,1,1,81
sample9,6,47,0,17,5,9,0,1,0,36,0,0,1,1,1,1,125
sample10,2,61,0,25,9,8,0,1,0,54,1,0,1,2,1,5,170
sample11,2,45,0,15,7,5,0,1,0,40,1,0,1,1,1,5,124
sample12,0,56,1,14,12,13,0,0,0,32,2,1,1,0,1,5,138
sample13,1,59,0,14,11,8,0,0,0,44,1,0,0,1,2,9,150
sample14,4,47,0,20,7,14,0,0,1,50,0,0,0,2,1,5,151
sample15,5,50,0,21,7,5,0,0,0,48,0,0,0,3,0,6,145
sample16,3,26,0,3,5,4,0,0,1,13,0,0,0,2,0,4,61
sample17,3,32,0,9,2,8,0,0,1,21,0,0,0,1,0,5,82
sample18,2,41,0,16,3,11,0,0,1,34,0,0,0,0,0,6,114
sample19,4,51,0,19,4,9,0,0,2,50,0,0,0,3,0,8,150
sample20,6,57,0,44,9,16,1,1,0,59,1,0,1,4,1,15,215
sample21,3,51,0,26,7,8,0,1,0,41,0,0,1,0,0,6,144
sample22,2,29,0,8,4,4,0,0,0,20,0,0,0,1,0,4,72
sample23,0,28,0,9,5,2,0,0,0,17,0,0,0,0,1,5,67
sample24,7,40,0,13,5,6,0,1,0,24,0,0,0,2,0,4,102
sample25,5,59,0,14,7,10,0,1,0,52,0,0,1,1,0,6,156
sample26,2,49,0,23,4,9,0,0,1,41,0,0,1,3,0,2,135
sample27,5,66,0,22,10,19,0,0,0,47,0,0,0,2,0,6,177
sample28,1,23,0,5,6,1,0,0,0,15,0,0,0,0,0,2,53
sample29,2,41,0,12,5,8,0,0,0,21,0,0,0,1,0,7,97