genus,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
Acanthaster,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1
Amphiodia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphiura,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Arbacia,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Arbacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arbacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astropyga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylosaster,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Echinaster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Echinothrix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eucidaris,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eurythoe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fibularia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fromia,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Holothuria,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Holothuria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Holothuria,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
Holothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koehleraster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Labidodemas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Labidodemas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linckia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linckia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linckia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lovenia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Macrophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mespilia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mespilia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mespilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metalia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Metalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiocoma,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Ophiocoma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiocoma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiocoma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiocoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiomastix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiomastix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ophiomastix,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiomastix,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ophionereis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophionereis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophionereis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Ophiothrix,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ophiothrix,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Ophiothrix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ophiura,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiura,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ophiura,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
Pearsonothuria,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Stichopus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thelenota,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tripneustes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripneustes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripneustes,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1