species,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
Amphiura microsoma,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Dactylosaster cylindricus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eucidaris metularia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fromia indica,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Holothuria pardalis,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
Holothuria pardalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas pertinax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labidodemas pertinax,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Labidodemas pertinax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linckia guildingi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Macrophiothrix koehleri,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Macrophiothrix longipeda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophiothrix lorioli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Macrophiothrix lorioli,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Macrophiothrix lorioli,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mespilia globulus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mespilia globulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiocoma brevipes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiocoma erinaceus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiocoma erinaceus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiocoma erinaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiomastix asperula,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ophiomastix asperula,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ophionereis variegata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophionereis variegata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ophiothrix armata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix armata,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Ophiothrix armata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ophiothrix armata,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Ophiothrix armata,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ophiothrix trilineata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pearsonothuria graeffei,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Stichopus chloronotus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thelenota ananas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tripneustes gratilla,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripneustes kermadecensis,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1