species,Amphiura microsoma,Dactylosaster cylindricus,Eucidaris metularia,Fromia indica,Holothuria pardalis,Labidodemas pertinax,Linckia guildingi,Macrophiothrix koehleri,Macrophiothrix longipeda,Macrophiothrix lorioli,Mespilia globulus,Ophiocoma brevipes,Ophiocoma erinaceus,Ophiomastix asperula,Ophionereis variegata,Ophiothrix armata,Ophiothrix trilineata,Pearsonothuria graeffei,Stichopus chloronotus,Thelenota ananas,Tripneustes gratilla,Tripneustes kermadecensis
Aug_2016,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dec_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dec_2016,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Dec_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jan_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Jan_2017,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0
Jan_2018,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
Jan_2020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1
Jun_2016,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jun_2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
Mar_2017,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
Mar_2018,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Nov_2019,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1