sample,year,month,season,year.dummy,season.dummy
Aug_2016,2016,August,Winter,2,4
Dec_2015,2015,December,Summer,1,1
Dec_2016,2016,December,Summer,2,1
Dec_2017,2017,December,Summer,3,1
Jan_2016,2016,January,Summer,2,1
Jan_2017,2017,January,Summer,3,1
Jan_2018,2018,January,Summer,4,1
Jan_2020,2020,January,Summer,6,1
Jun_2016,2016,June,Winter,2,4
Jun_2017,2017,June,Winter,3,4
Mar_2016,2016,March,Autumn,2,2
Mar_2017,2017,March,Autumn,3,2
Mar_2018,2018,March,Autumn,4,2
Nov_2019,2019,November,Spring,5,3