pcrMerge,tow,date,sample,site,year,month,season
sample,100613,Nov_2019,Nov_2019.1,Moore Reef,2019,November,Spring
sample1,100614,Nov_2019,Nov_2019.2,Moore Reef,2019,November,Spring
sample2,100991,Jan_2020,Jan_2020.1,Moore Reef,2020,January,Summer
sample3,100992,Jan_2020,Jan_2020.2,Moore Reef,2020,January,Summer
sample4,1167,Mar_2017,Mar_2017.1,Moore Reef,2017,March,Autumn
sample5,1168,Mar_2017,Mar_2017.2,Moore Reef,2017,March,Autumn
sample6,1446,Jun_2017,Jun_2017.1,Moore Reef,2017,June,Winter
sample7,1447,Jun_2017,Jun_2017.2,Moore Reef,2017,June,Winter
sample8,1470,Aug_2017,Aug_2017.1,Moore Reef,2017,August,Winter
sample9,1471,Aug_2017,Aug_2017.2,Moore Reef,2017,August,Winter
sample10,1530,Dec_2017,Dec_2017.1,Moore Reef,2017,December,Summer
sample11,1531,Dec_2017,Dec_2017.2,Moore Reef,2017,December,Summer
sample12,1563,Jan_2018,Jan_2018.1,Moore Reef,2018,January,Summer
sample13,1564,Jan_2018,Jan_2018.2,Moore Reef,2018,January,Summer
sample14,1984,Mar_2018,Mar_2018.1,Moore Reef,2018,March,Autumn
sample15,1985,Mar_2018,Mar_2018.2,Moore Reef,2018,March,Autumn
sample16,208,Dec_2015,Dec_2015.1,Moore Reef,2015,December,Summer
sample17,209,Dec_2015,Dec_2015.2,Moore Reef,2015,December,Summer
sample18,286,Jan_2016,Jan_2016.1,Moore Reef,2016,January,Summer
sample19,287,Jan_2016,Jan_2016.2,Moore Reef,2016,January,Summer
sample20,548,Mar_2016,Mar_2016.1,Moore Reef,2016,March,Autumn
sample21,549,Mar_2016,Mar_2016.2,Moore Reef,2016,March,Autumn
sample22,639,Jun_2016,Jun_2016.1,Moore Reef,2016,June,Winter
sample23,640,Jun_2016,Jun_2016.2,Moore Reef,2016,June,Winter
sample24,684,Aug_2016,Aug_2016.1,Moore Reef,2016,August,Winter
sample25,685,Aug_2016,Aug_2016.2,Moore Reef,2016,August,Winter
sample26,774,Dec_2016,Dec_2016.1,Moore Reef,2016,December,Summer
sample27,775,Dec_2016,Dec_2016.2,Moore Reef,2016,December,Summer
sample28,952,Jan_2017,Jan_2017.1,Moore Reef,2017,January,Summer
sample29,953,Jan_2017,Jan_2017.2,Moore Reef,2017,January,Summer