BOLDspecies,Dec_2015,Jan_2016,Mar_2016,Jun_2016,Aug_2016,Dec_2016,Jan_2017,Mar_2017,Jun_2017,Aug_2017,Dec_2017,Jan_2018,Mar_2018,Nov_2019,Jan_2020
Acanthaster cf. solaris,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1
Asteropsis carinifera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucidaris metularia,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Fromia Indica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Holothuria arenicola,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Holothuria arenicola,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Holothuria arenicola,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Holothuria hilla,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Koehleraster abnormalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koehleraster abnormalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koehleraster abnormalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Koehleraster abnormalis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Linckia laevigata,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Macrophiothrix lorioli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mespilia globulus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiocoma erinaceus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ophiocoma erinaceus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ophiothrix trilineata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thelenota ananas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0